how_old_are_you,industry,job_title,annual_salary,other_monetary_comp,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed
25-34,Hospitality & Events,Shift supervisor,33280,,Texas,Houston,11 - 20 years,11 - 20 years,College degree
25-34,"Marketing, Advertising & PR",Customer service supervisor,48000,,New York,Amsterdam,5-7 years,5-7 years,College degree
25-34,"Marketing, Advertising & PR",Account Executive,53500,0.0,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree
45-54,Law,IP Coordinator/Legal Assistant,94100,1000.0,District of Columbia,"Washington, DC",21 - 30 years,21 - 30 years,College degree
45-54,Computing or Tech,People Operations Manager,80000,,Pennsylvania,Pittsburgh,21 - 30 years,11 - 20 years,College degree
25-34,Sales,Account Manager,70000,30000.0,District of Columbia,Washington,5-7 years,5-7 years,College degree
35-44,Education (Higher Education),Professor,54000,1000.0,Massachusetts,Worcester,11 - 20 years,11 - 20 years,Master's degree
25-34,Education (Higher Education),Manager,81000,0.0,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree
25-34,Computing or Tech,Software Engineer 2,157000,29000.0,Washington,Redmond,11 - 20 years,8 - 10 years,Some college
35-44,Nonprofits,Database Associate,41000,0.0,Ohio,Columbus,5-7 years,5-7 years,Master's degree
25-34,Media & Digital,copyeditor,75000,2000.0,New York,New York City,8 - 10 years,8 - 10 years,College degree
25-34,Education (Higher Education),Analyst,60000,0.0,Ohio,Columbus,8 - 10 years,8 - 10 years,College degree
55-64,Health care,Director psychometrics,142000,7000.0,Illinois,Chicago,21 - 30 years,11 - 20 years,PhD
25-34,Sales,Business Development Representative,45000,15000.0,Illinois,Chicago,8 - 10 years,1 year or less,College degree
35-44,Nonprofits,Senior Advocacy Manager,69000,,Massachusetts,Boston,8 - 10 years,5-7 years,College degree
35-44,"Accounting, Banking & Finance",Project Accountant,51000,2000.0,Ohio,Toledo,11 - 20 years,5-7 years,College degree
25-34,Insurance,Data analyst,63000,,Oregon,Portland,1 year or less,1 year or less,PhD
25-34,Law,Supervising Attorney,87000,3000.0,California,San Francisco,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
55-64,Computing or Tech,Senior Director,200000,50000.0,New York,New York,31 - 40 years,31 - 40 years,College degree
25-34,Health care,Clerical,35000,,Michigan,Farmington Hills,5-7 years,2 - 4 years,College degree
35-44,Health care,Improvement Consultant,86000,0.0,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree
35-44,Computing or Tech,Principal Engineer,155000,25000.0,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree
45-54,Education (Higher Education),Program Coordinator,57000,,New York,New York,11 - 20 years,8 - 10 years,Master's degree
25-34,Government and Public Administration,Budget Analyst,67500,,Maryland,Silver Spring,2 - 4 years,2 - 4 years,College degree
35-44,"Accounting, Banking & Finance",Assistant Branch Manager,43875,1500.0,Massachusetts,Worcester area,11 - 20 years,8 - 10 years,College degree
25-34,Auction house,Administration manager,55000,,Illinois,Chicago,8 - 10 years,5-7 years,College degree
35-44,Computing or Tech,Software Engineer,110000,0.0,California,San Francisco,11 - 20 years,2 - 4 years,College degree
35-44,Computing or Tech,Principal Software Engineer,140000,28000.0,Nebraska,Omaha,11 - 20 years,11 - 20 years,Some college
55-64,Utilities & Telecommunications,IT Technical Support Analyst,98000,1500.0,Connecticut,Monroe,31 - 40 years,21 - 30 years,College degree
45-54,Law,Compliance Officer,75000,0.0,New York,Rochester,21 - 30 years,21 - 30 years,Master's degree
25-34,Nonprofits,EA to the Chief Development Officer,74000,0.0,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,College degree
25-34,Social Work,School social worker,52000,,Texas,Austin,2 - 4 years,2 - 4 years,Master's degree
35-44,Government and Public Administration,Assistant Project Engineer,100572,,Washington,Everett,11 - 20 years,11 - 20 years,Master's degree
45-54,Engineering or Manufacturing,Administrative Assistant,81473,780.0,California,Sacramento,21 - 30 years,21 - 30 years,College degree
25-34,Computing or Tech,Staff Software Engineer,200000,250000.0,California,San Francisco,11 - 20 years,8 - 10 years,College degree
55-64,Education (Higher Education),Admin Asst to VP and Development,39000,2000.0,Virginia,Bridgewater,31 - 40 years,11 - 20 years,College degree
45-54,Government and Public Administration,Business Manager,58000,2000.0,Texas,Waco,21 - 30 years,21 - 30 years,Master's degree
35-44,Media & Digital,Multi Media Designer,72500,,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master's degree
35-44,Media & Digital,User Experience and Engagement Manager,73000,0.0,New Jersey,Asbury Park,8 - 10 years,5-7 years,College degree
25-34,Government and Public Administration,Research Analyst,39000,,Pennsylvania,Harrisburg,2 - 4 years,2 - 4 years,College degree
25-34,Government and Public Administration,Program Director,93583,0.0,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree
25-34,Health care,Market Research Consultant,88000,,Oregon,Portland,8 - 10 years,8 - 10 years,College degree
35-44,"Marketing, Advertising & PR",Senior Manager of Marketing Operations,137000,29000.0,Illinois,Oak Brook,11 - 20 years,11 - 20 years,College degree
45-54,Insurance,Digital compliance,92000,7000.0,New York,New York,21 - 30 years,8 - 10 years,College degree
25-34,Computing or Tech,Proposal Manager,180000,20000.0,North Carolina,Wilmington,8 - 10 years,8 - 10 years,College degree
35-44,Agriculture or Forestry,Data Scientist,102000,14000.0,Iowa,Nevada,5-7 years,2 - 4 years,PhD
35-44,Social Work,Clinical Coordinator,61000,0.0,Pennsylvania,Harrisburg,11 - 20 years,11 - 20 years,Master's degree
35-44,Government and Public Administration,Deputy Budget Director,92000,0.0,Massachusetts,Boston,11 - 20 years,5-7 years,Master's degree
35-44,Nonprofits,Adminitrative Assistant,52000,2500.0,Minnesota,Minneapolis,5-7 years,5-7 years,College degree
35-44,Government and Public Administration,Data Analyst,73000,0.0,Minnesota,Minneapolis,11 - 20 years,5-7 years,College degree
35-44,Computing or Tech,Senior Software Developer,185000,,Texas,Austin,11 - 20 years,11 - 20 years,High School
25-34,Education (Higher Education),Business Analyst,84000,,California,Irvine,8 - 10 years,8 - 10 years,College degree
45-54,Government and Public Administration,Natural Resource Manager,90000,0.0,Virginia,Norfolk,21 - 30 years,11 - 20 years,Master's degree
25-34,Nonprofits,Counsel & Senior Manager of Policy,82850,3000.0,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
18-24,Business or Consulting,Executive Pay Analyst,72500,7500.0,Illinois,Chicago,1 year or less,1 year or less,College degree
35-44,Nonprofits,Managing director,93000,3000.0,Ohio,Akron,21 - 30 years,5-7 years,PhD
45-54,Retail,Product Sourcing Specialist,69000,,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree
25-34,Computing or Tech,Product Manager,130000,0.0,California,Palo Alto,8 - 10 years,2 - 4 years,College degree
25-34,Education (Higher Education),Assistant professor,65000,,Pennsylvania,Pittsburgh,11 - 20 years,8 - 10 years,Master's degree
35-44,Computing or Tech,Customer Success Manager,155250,25000.0,California,Palo Alto,11 - 20 years,11 - 20 years,Master's degree
45-54,Recruitment or HR,Team Leader,98000,15000.0,Arizona,Chandler,21 - 30 years,11 - 20 years,College degree
35-44,Computing or Tech,Support engineer,123000,0.0,California,San Francisco,8 - 10 years,5-7 years,College degree
35-44,"Marketing, Advertising & PR",Digital Engagement Coordinator,54000,,Texas,Austin,8 - 10 years,5-7 years,Master's degree
25-34,"Marketing, Advertising & PR",Creative Director,108000,0.0,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree
25-34,"Accounting, Banking & Finance",Auditor,87000,,Florida,Orlando,2 - 4 years,2 - 4 years,College degree
35-44,Engineering or Manufacturing,Director of HR,110000,11000.0,Minnesota,Brooklyn Park,11 - 20 years,11 - 20 years,Some college
35-44,Computing or Tech,Lead Engineer,257000,0.0,Colorado,Denver,21 - 30 years,21 - 30 years,College degree
35-44,Computing or Tech,"Director, Corporate Communications",170000,34000.0,Massachusetts,Boston,21 - 30 years,11 - 20 years,College degree
35-44,Nonprofits,Project Director,65000,1000.0,South Carolina,Charleston area,11 - 20 years,11 - 20 years,Master's degree
35-44,Health care,Director of Operations,123000,10000.0,Louisiana,New Orleans,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,Health care,IT Project Management Senior Advisor,101099,12700.0,Minnesota,Bloomington,11 - 20 years,5-7 years,College degree
35-44,Historic Preservation,Senior Architectural Conservator,75000,2500.0,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree
25-34,Education (Higher Education),Assistant Scientist,102000,0.0,Maryland,Baltimore,5-7 years,2 - 4 years,PhD
35-44,Engineering or Manufacturing,IP Paralegal/Technical Librarian,76997,,Colorado,Golden,8 - 10 years,5-7 years,College degree
55-64,Computing or Tech,Sr. Programmer Analyst,107000,15000.0,Florida,Fort Lauderdale,31 - 40 years,21 - 30 years,Some college
25-34,Recruitment or HR,Human Resources Business Partner,90000,2000.0,District of Columbia,"Washington, DC",8 - 10 years,5-7 years,Master's degree
25-34,Education (Higher Education),Reporting & Data Analyst,88000,,Massachusetts,Cambridge,11 - 20 years,8 - 10 years,College degree
25-34,Sales,Inside sales Rep,38000,0.0,Oregon,Salem,2 - 4 years,2 - 4 years,Some college
25-34,Computing or Tech,Software engineer,80000,,Ohio,Columbus,1 year or less,1 year or less,College degree
35-44,Transport or Logistics,Truck driver,58000,,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Some college
35-44,Training,eLearning Specialist,87000,0.0,Ohio,Columbus,11 - 20 years,2 - 4 years,Master's degree
35-44,e-comm,Director of Customer Experience,115000,,New York,New York,11 - 20 years,11 - 20 years,College degree
35-44,Government and Public Administration,Budget Analyst,100726,,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree
18-24,Health care,Receptionist,52000,,Massachusetts,Boston,2 - 4 years,1 year or less,College degree
25-34,I work in the finance function of a large global conglomerate,Sr. Financial Analyst,90000,0.0,North Carolina,Charlotte,5-7 years,2 - 4 years,Master's degree
25-34,Computing or Tech,Software development engineer,242500,,California,Los Angeles,8 - 10 years,8 - 10 years,Master's degree
65 or over,Education (Higher Education),Manager Library/Tutoring,95325,0.0,Wisconsin,Madison,41 years or more,41 years or more,Master's degree
25-34,Computing or Tech,Senior Software Engineer,145000,13000.0,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree
45-54,"Accounting, Banking & Finance",Member advisor,34500,1000.0,,Bemidji,2 - 4 years,2 - 4 years,Some college
45-54,Education (Higher Education),University Librarian,140000,0.0,Virginia,Lexington,11 - 20 years,11 - 20 years,PhD
25-34,Publishing,Publishing Assistant,33000,2000.0,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree
25-34,Law,Senior Associate,92000,10000.0,Texas,Houston,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,Sales,Key account manager,81500,31500.0,Massachusetts,Boston,11 - 20 years,2 - 4 years,Master's degree
35-44,Health care,RN,78000,8000.0,Kentucky,Murray,8 - 10 years,5-7 years,College degree
25-34,Art & Design,Architect,80000,18000.0,Georgia,Atlanta,8 - 10 years,8 - 10 years,Master's degree
25-34,Computing or Tech,Project manager,58750,650.0,Virginia,Richmond,2 - 4 years,1 year or less,College degree
25-34,,Auto liability representative 2,52000,,Illinois,Lombard,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Senior project manager,98200,5000.0,District of Columbia,Washington DC,8 - 10 years,5-7 years,College degree
55-64,"Accounting, Banking & Finance",Chief Compliance Officer/Operations Manager,110000,17000.0,Florida,Coral Gables,31 - 40 years,11 - 20 years,Master's degree
25-34,Hospitality & Events,Assistant General Manager,45000,0.0,Pennsylvania,Lancaster,11 - 20 years,11 - 20 years,College degree
25-34,Gaming,Community Director,140000,,Washington,Seattle,2 - 4 years,2 - 4 years,College degree
25-34,Law,Director of Legal and Compliance,130000,19500.0,Minnesota,Minneapolis,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,Sales,Senior Account Manager,25000,200000.0,Illinois,Chicago,11 - 20 years,8 - 10 years,Some college
18-24,Nonprofits,Multimedia Associate,53000,,District of Columbia,Washington DC,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Senior marketing automation managed,131000,44000.0,New York,New York City,8 - 10 years,5-7 years,College degree
25-34,Health care,Practice Manager,40000,0.0,Florida,Leesburg,8 - 10 years,8 - 10 years,College degree
25-34,Property or Construction,Assistant to Property Managers,31500,0.0,South Carolina,Columbia,8 - 10 years,2 - 4 years,College degree
25-34,Art & Design,Senior Graphic Designer,67000,3000.0,Tennessee,Chattanooga,8 - 10 years,8 - 10 years,College degree
35-44,Property or Construction,Document Control Specialist,47840,2400.0,Pennsylvania,West Chester,11 - 20 years,2 - 4 years,Some college
25-34,Retail,Sales Associate,19885,,Pennsylvania,"Harrisburg, PA, USA",11 - 20 years,11 - 20 years,Some college
25-34,Art & Design,data associate,46000,200.0,New York,new york,11 - 20 years,8 - 10 years,College degree
25-34,Computing or Tech,Consulting Engineer,68000,2000.0,North Carolina,Cary,5-7 years,2 - 4 years,College degree
25-34,Engineering or Manufacturing,Field service technician,66500,10000.0,Rhode Island,Providence,11 - 20 years,2 - 4 years,Some college
25-34,Education (Primary/Secondary),Pre-K Teacher,33000,0.0,Massachusetts,Watertown,8 - 10 years,2 - 4 years,Master's degree
25-34,"Accounting, Banking & Finance",Client Service Representative,75000,12000.0,,Portland,8 - 10 years,2 - 4 years,
45-54,Government and Public Administration,Project Manager,125000,,Washington,Seattle,21 - 30 years,11 - 20 years,Master's degree
35-44,"Accounting, Banking & Finance",Analyst,50000,5000.0,Indiana,Indianapolis,11 - 20 years,5-7 years,Some college
25-34,Nonprofits,Human Resources Analyst,55000,1000.0,North Carolina,Pittsboro,2 - 4 years,2 - 4 years,College degree
25-34,Health care,Assistant Director,65000,0.0,Massachusetts,Springfield,2 - 4 years,2 - 4 years,Master's degree
18-24,Computing or Tech,Software Engineer,160000,225000.0,California,San Francisco,2 - 4 years,2 - 4 years,College degree
35-44,"Marketing, Advertising & PR",Marketing (Consultant),260000,0.0,California,San Francisco,11 - 20 years,11 - 20 years,College degree
35-44,Computing or Tech,Senior developer,110000,0.0,Florida,Orlando,5-7 years,5-7 years,Master's degree
18-24,Engineering or Manufacturing,Software Engineer,86000,2600.0,Michigan,SE Michigan (remote),2 - 4 years,2 - 4 years,College degree
25-34,Nonprofits,"Senior Manager, Impact",110000,27500.0,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree
25-34,Education (Higher Education),"Assistant Director, Annual Giving",62500,0.0,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree
25-34,Media & Digital,Production Manager,58500,6500.0,Massachusetts,Boston,11 - 20 years,8 - 10 years,College degree
35-44,Insurance,Intake Representative,33000,,California,Sacramento,11 - 20 years,8 - 10 years,High School
25-34,Human Resources,Operations,57383,5000.0,New Hampshire,Manchester,8 - 10 years,2 - 4 years,Some college
25-34,Government and Public Administration,Planner,76500,0.0,Washington,Walla Walla,5-7 years,5-7 years,Master's degree
25-34,Academic research (social science),Research Specialist,45000,,Massachusetts,Greater Boston Area,2 - 4 years,2 - 4 years,Master's degree
35-44,Healthcare IT,Senior Human Resources and Internal Operatons Manager,106080,0.0,Virginia,Bristow,21 - 30 years,11 - 20 years,Master's degree
25-34,Law,Legal Fellow,57000,,District of Columbia,DC,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
25-34,Engineering or Manufacturing,Lead General Engineer (Contracting Officer Representative),78000,,Florida,Tampa,8 - 10 years,8 - 10 years,College degree
25-34,Hospitality & Events,Restaurant Manager,50000,,Ohio,Cincinnati,11 - 20 years,11 - 20 years,College degree
